data,ano,mes,modalidade,fluxo_energia,detalhe,valor_kwh
2003-01-01,2003,1,Geração Própria (Bruta),Disponibilidades,Energia Gerada (kWh),582555
2003-01-01,2003,1,Energia Recebida,Disponibilidades,Energia Medida (kWh),822871961
2003-01-01,2003,1,Energia Injetada Total,Disponibilidades,Energia Medida (kWh),825328939
2003-01-01,2003,1,Geração Distribuída de Terceiros,Disponibilidades,Energia Medida (kWh),1874423
2003-01-01,2003,1,Energia Vendida,Requisitos,Energia Medida (kWh),636938060
2003-01-01,2003,1,Energia Vendida,Requisitos,Energia Faturada (kWh),645126507
2003-01-01,2003,1,Energia Vendida,Requisitos,Energia Medida (kWh),1105361
2003-01-01,2003,1,Energia Vendida,Requisitos,Energia Faturada (kWh),1106347
2003-01-01,2003,1,Energia Entregue,Requisitos,Energia Medida (kWh),4676400
2003-01-01,2003,1,Energia Entregue,Requisitos,Energia Medida (kWh),9155010
2003-01-01,2003,1,Perdas na Distribuição (valor medido),Saldo,Energia Calculada (kWh),173454108
2003-01-01,2003,1,Perdas na Distribuição (valor medido),Saldo,Energia Calculada (kWh),107256268
2003-01-01,2003,1,Perdas na Distribuição (valor medido),Saldo,Energia Calculada (kWh),66197840
2003-01-01,2003,1,Perdas na Distribuição (valor faturado),Saldo,Energia Calculada (kWh),165264675
2003-01-01,2003,1,Perdas na Distribuição (valor faturado),Saldo,Energia Calculada (kWh),98017995
2003-01-01,2003,1,Perdas na Distribuição (valor faturado),Saldo,Energia Calculada (kWh),67246680
2003-02-01,2003,2,Geração Própria (Bruta),Disponibilidades,Energia Gerada (kWh),494622
2003-02-01,2003,2,Energia Recebida,Disponibilidades,Energia Medida (kWh),733653974
2003-02-01,2003,2,Energia Injetada Total,Disponibilidades,Energia Medida (kWh),735527799
2003-02-01,2003,2,Geração Distribuída de Terceiros,Disponibilidades,Energia Medida (kWh),1379203
2003-02-01,2003,2,Energia Vendida,Requisitos,Energia Medida (kWh),618215164
2003-02-01,2003,2,Energia Vendida,Requisitos,Energia Faturada (kWh),626683088
2003-02-01,2003,2,Energia Vendida,Requisitos,Energia Medida (kWh),1119608
2003-02-01,2003,2,Energia Vendida,Requisitos,Energia Faturada (kWh),1121050
2003-02-01,2003,2,Energia Entregue,Requisitos,Energia Medida (kWh),1782558
2003-02-01,2003,2,Energia Entregue,Requisitos,Energia Medida (kWh),9089108
2003-02-01,2003,2,Perdas na Distribuição (valor medido),Saldo,Energia Calculada (kWh),105321361
2003-02-01,2003,2,Perdas na Distribuição (valor medido),Saldo,Energia Calculada (kWh),40791773
2003-02-01,2003,2,Perdas na Distribuição (valor medido),Saldo,Energia Calculada (kWh),64529588
2003-02-01,2003,2,Perdas na Distribuição (valor faturado),Saldo,Energia Calculada (kWh),96851995
2003-02-01,2003,2,Perdas na Distribuição (valor faturado),Saldo,Energia Calculada (kWh),31246809
2003-02-01,2003,2,Perdas na Distribuição (valor faturado),Saldo,Energia Calculada (kWh),65605186
2003-03-01,2003,3,Geração Própria (Bruta),Disponibilidades,Energia Gerada (kWh),518702
2003-03-01,2003,3,Energia Recebida,Disponibilidades,Energia Medida (kWh),792361927
2003-03-01,2003,3,Energia Injetada Total,Disponibilidades,Energia Medida (kWh),793974236
2003-03-01,2003,3,Geração Distribuída de Terceiros,Disponibilidades,Energia Medida (kWh),1093607
2003-03-01,2003,3,Energia Vendida,Requisitos,Energia Medida (kWh),611007537
2003-03-01,2003,3,Energia Vendida,Requisitos,Energia Faturada (kWh),619752328
2003-03-01,2003,3,Energia Vendida,Requisitos,Energia Medida (kWh),1196229
2003-03-01,2003,3,Energia Vendida,Requisitos,Energia Faturada (kWh),1198047
2003-03-01,2003,3,Energia Entregue,Requisitos,Energia Medida (kWh),6779685
2003-03-01,2003,3,Energia Entregue,Requisitos,Energia Medida (kWh),9261420
2003-03-01,2003,3,Perdas na Distribuição (valor medido),Saldo,Energia Calculada (kWh),165729365
2003-03-01,2003,3,Perdas na Distribuição (valor medido),Saldo,Energia Calculada (kWh),99130888
2003-03-01,2003,3,Perdas na Distribuição (valor medido),Saldo,Energia Calculada (kWh),66598477
2003-03-01,2003,3,Perdas na Distribuição (valor faturado),Saldo,Energia Calculada (kWh),156982756
2003-03-01,2003,3,Perdas na Distribuição (valor faturado),Saldo,Energia Calculada (kWh),89211254
2003-03-01,2003,3,Perdas na Distribuição (valor faturado),Saldo,Energia Calculada (kWh),67771502
2003-04-01,2003,4,Geração Própria (Bruta),Disponibilidades,Energia Gerada (kWh),524891
2003-04-01,2003,4,Energia Recebida,Disponibilidades,Energia Medida (kWh),778272926
2003-04-01,2003,4,Energia Injetada Total,Disponibilidades,Energia Medida (kWh),779721198
2003-04-01,2003,4,Geração Distribuída de Terceiros,Disponibilidades,Energia Medida (kWh),923382
2003-04-01,2003,4,Energia Vendida,Requisitos,Energia Medida (kWh),619580567
2003-04-01,2003,4,Energia Vendida,Requisitos,Energia Faturada (kWh),628289247
2003-04-01,2003,4,Energia Vendida,Requisitos,Energia Medida (kWh),1131037
2003-04-01,2003,4,Energia Vendida,Requisitos,Energia Faturada (kWh),1131959
2003-04-01,2003,4,Energia Entregue,Requisitos,Energia Medida (kWh),3194371
2003-04-01,2003,4,Energia Entregue,Requisitos,Energia Medida (kWh),8379011
2003-04-01,2003,4,Perdas na Distribuição (valor medido),Saldo,Energia Calculada (kWh),147436212
2003-04-01,2003,4,Perdas na Distribuição (valor medido),Saldo,Energia Calculada (kWh),83648932
2003-04-01,2003,4,Perdas na Distribuição (valor medido),Saldo,Energia Calculada (kWh),63787281
2003-04-01,2003,4,Perdas na Distribuição (valor faturado),Saldo,Energia Calculada (kWh),138726610
2003-04-01,2003,4,Perdas na Distribuição (valor faturado),Saldo,Energia Calculada (kWh),73844697
2003-04-01,2003,4,Perdas na Distribuição (valor faturado),Saldo,Energia Calculada (kWh),64881913
2003-05-01,2003,5,Geração Própria (Bruta),Disponibilidades,Energia Gerada (kWh),487478
2003-05-01,2003,5,Energia Recebida,Disponibilidades,Energia Medida (kWh),794680461
2003-05-01,2003,5,Energia Injetada Total,Disponibilidades,Energia Medida (kWh),796137478
2003-05-01,2003,5,Geração Distribuída de Terceiros,Disponibilidades,Energia Medida (kWh),969539
2003-05-01,2003,5,Energia Vendida,Requisitos,Energia Medida (kWh),620878221
2003-05-01,2003,5,Energia Vendida,Requisitos,Energia Faturada (kWh),627799634
2003-05-01,2003,5,Energia Vendida,Requisitos,Energia Medida (kWh),1155728
2003-05-01,2003,5,Energia Vendida,Requisitos,Energia Faturada (kWh),1156106
2003-05-01,2003,5,Energia Entregue,Requisitos,Energia Medida (kWh),7642091
2003-05-01,2003,5,Energia Entregue,Requisitos,Energia Medida (kWh),8342043
2003-05-01,2003,5,Perdas na Distribuição (valor medido),Saldo,Energia Calculada (kWh),158119395
2003-05-01,2003,5,Perdas na Distribuição (valor medido),Saldo,Energia Calculada (kWh),95318991
2003-05-01,2003,5,Perdas na Distribuição (valor medido),Saldo,Energia Calculada (kWh),62800404
2003-05-01,2003,5,Perdas na Distribuição (valor faturado),Saldo,Energia Calculada (kWh),151197604
2003-05-01,2003,5,Perdas na Distribuição (valor faturado),Saldo,Energia Calculada (kWh),87516771
2003-05-01,2003,5,Perdas na Distribuição (valor faturado),Saldo,Energia Calculada (kWh),63680832
2003-06-01,2003,6,Geração Própria (Bruta),Disponibilidades,Energia Gerada (kWh),485293
2003-06-01,2003,6,Energia Recebida,Disponibilidades,Energia Medida (kWh),723914866
2003-06-01,2003,6,Energia Injetada Total,Disponibilidades,Energia Medida (kWh),725463907
2003-06-01,2003,6,Geração Distribuída de Terceiros,Disponibilidades,Energia Medida (kWh),1063748
2003-06-01,2003,6,Energia Vendida,Requisitos,Energia Medida (kWh),604131987
2003-06-01,2003,6,Energia Vendida,Requisitos,Energia Faturada (kWh),614053379
2003-06-01,2003,6,Energia Vendida,Requisitos,Energia Medida (kWh),1036995
2003-06-01,2003,6,Energia Vendida,Requisitos,Energia Faturada (kWh),1039391
2003-06-01,2003,6,Energia Entregue,Requisitos,Energia Medida (kWh),7919074
2003-06-01,2003,6,Energia Entregue,Requisitos,Energia Medida (kWh),8936556
2003-06-01,2003,6,Perdas na Distribuição (valor medido),Saldo,Energia Calculada (kWh),103439295
2003-06-01,2003,6,Perdas na Distribuição (valor medido),Saldo,Energia Calculada (kWh),43619208
2003-06-01,2003,6,Perdas na Distribuição (valor medido),Saldo,Energia Calculada (kWh),59820087
2003-06-01,2003,6,Perdas na Distribuição (valor faturado),Saldo,Energia Calculada (kWh),93515507
2003-06-01,2003,6,Perdas na Distribuição (valor faturado),Saldo,Energia Calculada (kWh),32601877
2003-06-01,2003,6,Perdas na Distribuição (valor faturado),Saldo,Energia Calculada (kWh),60913630
2003-07-01,2003,7,Geração Própria (Bruta),Disponibilidades,Energia Gerada (kWh),515175
2003-07-01,2003,7,Energia Recebida,Disponibilidades,Energia Medida (kWh),740725531
2003-07-01,2003,7,Energia Injetada Total,Disponibilidades,Energia Medida (kWh),742469478
2003-07-01,2003,7,Geração Distribuída de Terceiros,Disponibilidades,Energia Medida (kWh),1228772
2003-07-01,2003,7,Energia Vendida,Requisitos,Energia Medida (kWh),587531263
2003-07-01,2003,7,Energia Vendida,Requisitos,Energia Faturada (kWh),595766511
2003-07-01,2003,7,Energia Vendida,Requisitos,Energia Medida (kWh),1039712
2003-07-01,2003,7,Energia Vendida,Requisitos,Energia Faturada (kWh),1042094
2003-07-01,2003,7,Energia Entregue,Requisitos,Energia Medida (kWh),7751940
2003-07-01,2003,7,Energia Entregue,Requisitos,Energia Medida (kWh),8851458
2003-07-01,2003,7,Perdas na Distribuição (valor medido),Saldo,Energia Calculada (kWh),137295106
2003-07-01,2003,7,Perdas na Distribuição (valor medido),Saldo,Energia Calculada (kWh),79985782
2003-07-01,2003,7,Perdas na Distribuição (valor medido),Saldo,Energia Calculada (kWh),57309324
2003-07-01,2003,7,Perdas na Distribuição (valor faturado),Saldo,Energia Calculada (kWh),129057475
2003-07-01,2003,7,Perdas na Distribuição (valor faturado),Saldo,Energia Calculada (kWh),70704412
2003-07-01,2003,7,Perdas na Distribuição (valor faturado),Saldo,Energia Calculada (kWh),58353064
2003-08-01,2003,8,Geração Própria (Bruta),Disponibilidades,Energia Gerada (kWh),526477
2003-08-01,2003,8,Energia Recebida,Disponibilidades,Energia Medida (kWh),759700176
2003-08-01,2003,8,Energia Injetada Total,Disponibilidades,Energia Medida (kWh),761239410
2003-08-01,2003,8,Geração Distribuída de Terceiros,Disponibilidades,Energia Medida (kWh),1012758
2003-08-01,2003,8,Energia Vendida,Requisitos,Energia Medida (kWh),594851913
2003-08-01,2003,8,Energia Vendida,Requisitos,Energia Faturada (kWh),605665929
2003-08-01,2003,8,Energia Vendida,Requisitos,Energia Medida (kWh),1051402
2003-08-01,2003,8,Energia Vendida,Requisitos,Energia Faturada (kWh),1054246
2003-08-01,2003,8,Energia Entregue,Requisitos,Energia Medida (kWh),8086198
2003-08-01,2003,8,Energia Entregue,Requisitos,Energia Medida (kWh),9564472
2003-08-01,2003,8,Perdas na Distribuição (valor medido),Saldo,Energia Calculada (kWh),147685426
2003-08-01,2003,8,Perdas na Distribuição (valor medido),Saldo,Energia Calculada (kWh),87702551
2003-08-01,2003,8,Perdas na Distribuição (valor medido),Saldo,Energia Calculada (kWh),59982875
2003-08-01,2003,8,Perdas na Distribuição (valor faturado),Saldo,Energia Calculada (kWh),136868565
2003-08-01,2003,8,Perdas na Distribuição (valor faturado),Saldo,Energia Calculada (kWh),75570141
2003-08-01,2003,8,Perdas na Distribuição (valor faturado),Saldo,Energia Calculada (kWh),61298424
2003-09-01,2003,9,Geração Própria (Bruta),Disponibilidades,Energia Gerada (kWh),504223
2003-09-01,2003,9,Energia Recebida,Disponibilidades,Energia Medida (kWh),764972506
2003-09-01,2003,9,Energia Injetada Total,Disponibilidades,Energia Medida (kWh),766077555
2003-09-01,2003,9,Geração Distribuída de Terceiros,Disponibilidades,Energia Medida (kWh),600826
2003-09-01,2003,9,Energia Vendida,Requisitos,Energia Medida (kWh),603435659
2003-09-01,2003,9,Energia Vendida,Requisitos,Energia Faturada (kWh),614655429
2003-09-01,2003,9,Energia Vendida,Requisitos,Energia Medida (kWh),1117594
2003-09-01,2003,9,Energia Vendida,Requisitos,Energia Faturada (kWh),1120764
2003-09-01,2003,9,Energia Entregue,Requisitos,Energia Medida (kWh),7497476
2003-09-01,2003,9,Energia Entregue,Requisitos,Energia Medida (kWh),9708040
2003-09-01,2003,9,Perdas na Distribuição (valor medido),Saldo,Energia Calculada (kWh),144318786
2003-09-01,2003,9,Perdas na Distribuição (valor medido),Saldo,Energia Calculada (kWh),81869325
2003-09-01,2003,9,Perdas na Distribuição (valor medido),Saldo,Energia Calculada (kWh),62449461
2003-09-01,2003,9,Perdas na Distribuição (valor faturado),Saldo,Energia Calculada (kWh),133095847
2003-09-01,2003,9,Perdas na Distribuição (valor faturado),Saldo,Energia Calculada (kWh),69159979
2003-09-01,2003,9,Perdas na Distribuição (valor faturado),Saldo,Energia Calculada (kWh),63935868
2003-10-01,2003,10,Geração Própria (Bruta),Disponibilidades,Energia Gerada (kWh),599268
2003-10-01,2003,10,Energia Recebida,Disponibilidades,Energia Medida (kWh),812262181
2003-10-01,2003,10,Energia Injetada Total,Disponibilidades,Energia Medida (kWh),815421088
2003-10-01,2003,10,Geração Distribuída de Terceiros,Disponibilidades,Energia Medida (kWh),2559639
2003-10-01,2003,10,Energia Vendida,Requisitos,Energia Medida (kWh),605842289
2003-10-01,2003,10,Energia Vendida,Requisitos,Energia Faturada (kWh),622747277
2003-10-01,2003,10,Energia Vendida,Requisitos,Energia Medida (kWh),1181686
2003-10-01,2003,10,Energia Vendida,Requisitos,Energia Faturada (kWh),1184513
2003-10-01,2003,10,Energia Entregue,Requisitos,Energia Medida (kWh),2536620
2003-10-01,2003,10,Energia Entregue,Requisitos,Energia Medida (kWh),10219639
2003-10-01,2003,10,Perdas na Distribuição (valor medido),Saldo,Energia Calculada (kWh),195640853
2003-10-01,2003,10,Perdas na Distribuição (valor medido),Saldo,Energia Calculada (kWh),131659163
2003-10-01,2003,10,Perdas na Distribuição (valor medido),Saldo,Energia Calculada (kWh),63981691
2003-10-01,2003,10,Perdas na Distribuição (valor faturado),Saldo,Energia Calculada (kWh),178733039
2003-10-01,2003,10,Perdas na Distribuição (valor faturado),Saldo,Energia Calculada (kWh),112498256
2003-10-01,2003,10,Perdas na Distribuição (valor faturado),Saldo,Energia Calculada (kWh),66234783
2003-11-01,2003,11,Geração Própria (Bruta),Disponibilidades,Energia Gerada (kWh),691933
2003-11-01,2003,11,Energia Recebida,Disponibilidades,Energia Medida (kWh),800309445
2003-11-01,2003,11,Energia Injetada Total,Disponibilidades,Energia Medida (kWh),803962462
2003-11-01,2003,11,Geração Distribuída de Terceiros,Disponibilidades,Energia Medida (kWh),2961084
2003-11-01,2003,11,Energia Vendida,Requisitos,Energia Medida (kWh),629943996
2003-11-01,2003,11,Energia Vendida,Requisitos,Energia Faturada (kWh),645706268
2003-11-01,2003,11,Energia Vendida,Requisitos,Energia Medida (kWh),1199694
2003-11-01,2003,11,Energia Vendida,Requisitos,Energia Faturada (kWh),1202006
2003-11-01,2003,11,Energia Entregue,Requisitos,Energia Medida (kWh),22131
2003-11-01,2003,11,Energia Entregue,Requisitos,Energia Medida (kWh),9822030
2003-11-01,2003,11,Perdas na Distribuição (valor medido),Saldo,Energia Calculada (kWh),162974611
2003-11-01,2003,11,Perdas na Distribuição (valor medido),Saldo,Energia Calculada (kWh),94423052
2003-11-01,2003,11,Perdas na Distribuição (valor medido),Saldo,Energia Calculada (kWh),68551559
2003-11-01,2003,11,Perdas na Distribuição (valor faturado),Saldo,Energia Calculada (kWh),147210027
2003-11-01,2003,11,Perdas na Distribuição (valor faturado),Saldo,Energia Calculada (kWh),76540388
2003-11-01,2003,11,Perdas na Distribuição (valor faturado),Saldo,Energia Calculada (kWh),70669639
2003-12-01,2003,12,Geração Própria (Bruta),Disponibilidades,Energia Gerada (kWh),600590
2003-12-01,2003,12,Energia Recebida,Disponibilidades,Energia Medida (kWh),831755526
2003-12-01,2003,12,Energia Injetada Total,Disponibilidades,Energia Medida (kWh),843293480
2003-12-01,2003,12,Geração Distribuída de Terceiros,Disponibilidades,Energia Medida (kWh),10937364
